Name,Location,Price,Includes,Trip summary,Rating,Things To do
 Manila City Tour,Manila city,"3,544","Transport

Pick-Up & Drop

Guide","The trip summary are:
Manila city tour
Join in tour
Dept. of Tourism Accredited English speaking guide
Entrance fees to Intramuros (PHP75)
Hotel pick up and drop off
Shared Tansfers
Thrillophilia voucher
Valid ID proof
Roundtrip transfers are only limited to the following areas in Manila: Makati, Ortigas and Manila Bay Areas. Apart from these areas, any other areas are chargeable.
You can present both Mobile and printed vouchers for the manila city tour.
The voucher is valid only on the specified date and time mentioned in the voucher.
This is a group tour
If cancelled 24 hours prior to the date of the activity: Full Refund
If cancelled within 24 hours of the date of the activity: No Refund
The applicable refund amount will be processed within 15 business days
The customer receives a confirmation voucher via email within 24 hours of successful booking
In case the preferred slots are unavailable, an alternate schedule of the customer’s preference will be arranged and a new confirmation voucher will be sent via email.
Alternatively, the customer may choose to cancel their booking before confirmation and a full refund will be processed.",3.5,"Things to do:
Catch a glimpse of Philippine history

 Cruise through the scenic spots of the city
Explore the havelis & heritage of Delhi & India
Visit all the popular historic places"
 Cebu Safari And Adventure Park In Carmen, Cebu,"1,325",Activities,"The trip summary are:
Cebu safari and adventure park in Carmen
Admission to select attractions: Cebu Safari, all animal exhibits, bird show, African Savanna tour, Michel’s Garden
Tram rides inside the park
Thrillophilia voucher
Valid ID Proof
You are not allowed to carry outside food and drinks inside the venue.
You are not allowed to carry your pets inside the venue.
Smoking and drinking are not allowed in the course of the trip.
You can take your baby stroller and wheelchair accessible.
This is a group tour
No cancellations, refunds, or changes can be made
No Refunds applicable
The customer receives a confirmation voucher via email within 24 hours of successful booking
In case the preferred slots are unavailable, an alternate schedule of the customer’s preference will be arranged and a new confirmation voucher will be sent via email.
Alternatively, the customer may choose to cancel their booking before confirmation and a full refund will be processed.",4,"Things to do:
Enjoy a guided wildlife safari
Relish the perfect wildlife adventure

Roam about the African Savanna

Make the most of the bird feeding session with this package"
 Badian Canyoneering And Kawasan Waterfalls Tour, Cebu,"4,125",Activities,"The trip summary are:
Lunch
Badian canyoneering
Private tour
Hotel pick up and drop off
Local guide
Lunch
Motorbike ride to jump off point
Entrance fees to Kawasan Falls and the Badian canyoneering activity
Safety gear (life jacket, aqua shoes, and helmet)
Shared Transfers
Thrillophilia voucher
Valid ID proof
You should put  on active wear for this tour.
This ticket is valid only for the date and time as per the booking.
You are advised to carry one bag with you during the trip.
This is a private tour
If cancelled 72 hours prior to the date of the activity: Full Refund
If cancelled within 72 hours of the date of the activity: No Refund
The applicable refund amount will be processed within 15 business days
The customer receives a confirmation voucher via email within 24 hours of successful booking
In case the preferred slots are unavailable, an alternate schedule of the customer’s preference will be arranged and a new confirmation voucher will be sent via email.
Alternatively, the customer may choose to cancel their booking before confirmation and a full refund will be processed.",3.5,"Things to do:
Head out on a guided tour to some of the famous attractions

Relish the adrenaline rush

Jump off from towering 30 feet high cliff

Head out to visit the famous Kawasan Falls"
Puerto Princesa Palawan City Tour, Palawan,"1,187","Meals

Pick-Up & Drop

Activities

Guide","The trip summary are:
Snack
Puerto Princesa Palawan city tour
Join in tour
Hotel pick up and drop off
English speaking guide
Snack
Entrance fees to all attractions
Shared transfers
Thrillophilia voucher
Valid ID proof
Transfers to/from hotels are only limited to downtown Puerto Princesa.
Free entry for 0-2 years of children.
This is a group tour
Full refunds will be issued for cancellations made at least 7 days prior to the activity
The applicable refund amount will be processed within 15 business days
The customer receives a confirmation voucher via email within 24 hours of successful booking
In case the preferred slots are unavailable, an alternate schedule of the customer’s preference will be arranged and a new confirmation voucher will be sent via email.
Alternatively, the customer may choose to cancel their booking before confirmation and a full refund will be processed.",3.5,"Things to do:
History of Roman Catholic Immaculate Concepcion Cathedral
Sight Philippines crocodiles Palawan Wildlife Rescue

Visit Plaza Cuartel for the rich history of area

Shop Hand woven products from weaving center"
Boracay Island Hopping Tour,Boracay,"1,366","Meals

Activities

Guide","The trip summary are:
BBQ lunch
Boracay private island hopping tour
Join in Tour
Local English speaking guide
BBQ lunch
Helmet diving (depends on choice of variants)
Thrillophilia Voucher
Valid ID proof
Wear an appropriate swimsuit and comfortable footwear for the beach
Arrive at least 10 minutes before the scheduled arrival
This activity can be availed as a private or group tour
If cancelled 24 hours prior to the date of the activity: Full Refund
If cancelled within 24 hours of the date of the activity: No Refund
The applicable refund amount will be processed within 15 business days
The customer receives a confirmation voucher via email within 24 hours of successful booking
In case the preferred slots are unavailable, an alternate schedule of the customer’s preference will be arranged and a new confirmation voucher will be sent via email.
Alternatively, the customer may choose to cancel their booking before confirmation and a full refund will be processed.",3.5,"Things to do:
 Roll around the white sandy beaches
Visit the famous beaches of the Island
Snorkel around the beaches
Delicious local cuisine buffet"
 City Tour Bohol From Cebu,Cebu,"4,480","Meals

Transport

Pick-Up & Drop

Activities","The trip summary are:
Loboc river cruise with lunch buffet
City tour Bohol
Entrance fees
Loboc river cruise with lunch buffet
Hotel pick up and drop off from Cebu or Mactan
Round trip fast ferry tickets between Cebu and Tagbilaran
Terminal Fee
Shared Transfers
Thrillophilia Voucher
Valid ID proof
The schedule of ferries to Tagbilaran can vary depending upon the seat availability on ferry transfers.
Confirm pickup time will be informed to you after the confirmation of ferry tickets.
This is a group tour
No cancellations, refunds or changes can be made
No Refunds applicable
The customer receives a confirmation voucher via email within 24 hours of successful booking
In case the preferred slots are unavailable, an alternate schedule of the customer’s preference will be arranged and a new confirmation voucher will be sent via email.
Alternatively, the customer may choose to cancel their booking before confirmation and a full refund will be processed.",3.5,"Things to do:
Explore the popular sights of Bohol

Visit “the tarsier”- World's Smallest Primate

Enjoy cruise on the Loboc River

Gaze at the majestic Bohol’s Chocolates Hills
Spend some time at the butterfly sanctuary"
Coron Palawan Tour, Palawan,"2,380","Transport

Activities

Guide","The trip summary are:
Coron Palawan tour
Join-in tour
Hotel pick up and drop off within downtown Coron
Snorkeling mask
English-speaking tour guide
Boat transfers
Life vest
Shared Vehicle
Thrillophilia Voucher
Valid ID Proof
Wait in your hotel lobby 10 minutes prior to your pick up time to avoid causing any delays on the tour.


This is a group tour
Full refunds will be issued for cancelations made at least 7 days prior to the activity
If cancelled within 7 days of the date of the activity: No Refund
The applicable refund amount will be processed within 15 business days
All applicable refunds will be done in traveller's thrillophilia wallet as Thrillcash
The customer receives a confirmation voucher via email within 24 hours of successful booking
In case the preferred slots are unavailable, an alternate schedule of the customer’s preference will be arranged and a new confirmation voucher will be sent via email.
Alternatively, the customer may choose to cancel their booking before confirmation and a full refund will be processed.",4,"Things to do:
Dive into the crystal clear waters of Barracuda Lake
Feast on delicious lunch at the Banol Beach
Enjoy snorkelling with schools of fish
Soak in the beauty of twin lagoons"
Calauit Safari Coron And Beach Tour,Palawan,"3,412","Meals

Pick-Up & Drop

Activities

Guide","The trip summary are:
Picnic lunch
Calauit safari coron
Join in tour
Hotel pick up and drop off (limited within Coron town)
English speaking guide
Water
Picnic lunch
Entrance fees to Calauit Wildlife Sanctuary
Environmental fee
Shared Transfers
Thrillophilia voucher
Valid ID proof
No tickets for children of 0-2 years
This is a group tour
If cancelled 48 hours prior to the date of the activity: Full Refund
If cancelled within 48 hours of the date of the activity: No Refund
The applicable refund amount will be processed within 15 business days
The customer receives a confirmation voucher via email within 24 hours of successful booking
In case the preferred slots are unavailable, an alternate schedule of the customer’s preference will be arranged and a new confirmation voucher will be sent via email.
Alternatively, the customer may choose to cancel their booking before confirmation and a full refund will be processed.",4,"Things to do:
Gaze at the African giraffes, zebras and others
Morning safari within Calauit Game Refuge

Feed the giraffes with park rangers

Visit the north cay or Black Island"
Celosia Flower Farm & Jumalon Butterfly Sanctuary Tour, Cebu,"3,200","Transport

Pick-Up & Drop

Activities","The trip summary are:
Celosia flower farm in Sirao Cebu
Hotel pick up and drop off from Cebu City
Car charter
Driver
Shared transfers
Thrillophilia voucher
Valid ID proof
For full refunds, cancel the activity 24 hours prior to the tour.
Carry your tour vouchers with you.
Admission fee to the Celosia flower farm and Jumalon Butterfly Sanctuary is not included in the package.

This is a group tour
If cancelled 24 hours prior to the date of the activity: Full Refund
If cancelled within 24 hours of the date of the activity: No Refund
The applicable refund amount will be processed within 15 business days
The customer receives a confirmation voucher via email within 24 hours of successful booking
In case the preferred slots are unavailable, an alternate schedule of the customer’s preference will be arranged and a new confirmation voucher will be sent via email.
Alternatively, the customer may choose to cancel their booking before confirmation and a full refund will be processed.",4.5,"Things to do:
Witness the full blooms at celosia farms
  Explore the popular Cebu’s “Little Amsterdam”

Sight exotic insects at Jumalon Butterfly Sanctuary
 Comfortable round trip transfers on tour"
Intramuros Bambike Tour,Manila,"1,588","Activities

Guide","The trip summary are:
Bike tour Manila
Local English-speaking guide
Bamboo bike and helmet rental
Water refill
Sunscreen or rain ponchos (when needed)
Thrillophilia Voucher
Valid ID proof
No meal is included in the bike tour in Manila.
This tour is not wheelchair accessible.
Candidates with heart problems or other serious medical problems are not fit for this tour.
This is a group tour
If cancelled 48 hours prior to the date of the activity: Full Refund
If cancelled within 48 hours of the date of the activity: No Refund
The applicable refund amount will be processed within 15 business days
The customer receives a confirmation voucher via email within 24 hours of successful booking
In case the preferred slots are unavailable, an alternate schedule of the customer’s preference will be arranged and a new confirmation voucher will be sent via email.
Alternatively, the customer may choose to cancel their booking before confirmation and a full refund will be processed.",3.5,"Things to do:
Paddle down in the oldest parts of manila
Ride on the all-natural Bamboo bike
Explore major historical locations of the city

Learn about the glorious past of Philippines"
 Panglao Island Tour,Bohol,"1,100","Pick-Up & Drop

Activities

Guide","The trip summary are:
Panglao tour Bohol
Private tour
Hotel pick up and drop off
Driver/guide
Entrance fees to all attractions (PHP 30 for Hinagdanan Cave, PHP 30 for Bohol Bee Farm, PHP 30 for Shell Museum)
Shared Transfers
Thrillophilia voucher
Valid ID proof
Please be at the meeting point 10 minutes before the scheduled pickup time as you will not get any return for no show or late coming
Always carry your passport or any valid ID proof for verification
Carry sunscreen, sunglasses, hat/scarf, swimwear, and change of clothes
This is a private tour
Full refunds will be issued for cancellations made at least 14 days prior to the activity
The applicable refund amount will be processed within 15 business days
The customer receives a confirmation voucher via email within 24 hours of successful booking
In case the preferred slots are unavailable, an alternate schedule of the customer’s preference will be arranged and a new confirmation voucher will be sent via email.
Alternatively, the customer may choose to cancel their booking before confirmation and a full refund will be processed.",4.5,"Things to do:
A complete package of nature, heritage, and adventure

Visit the most famous locations in Island

Hassle-free return transportation

Grab the best deal through us"
